timestamp,fire_start_time,location,severity
2024-01-01 00:00:00,2023-12-31 23:07:00,"45.7747,-73.3052",low
2024-01-03 02:00:00,2024-01-03 01:53:00,"44.5917,-72.7931",low
2024-01-03 10:00:00,2024-01-03 09:29:00,"44.5963,-72.3298",high
2024-01-13 03:00:00,2024-01-13 02:04:00,"44.0596,-72.3365",medium
2024-01-18 07:00:00,2024-01-18 06:54:00,"45.8991,-72.4297",low
2024-01-29 11:00:00,2024-01-29 10:11:00,"45.3772,-72.4617",high
2024-02-07 23:00:00,2024-02-07 22:38:00,"45.2376,-72.7731",low
2024-02-13 14:00:00,2024-02-13 13:05:00,"45.5061,-73.5626",medium
2024-03-17 04:00:00,2024-03-17 03:58:00,"44.7745,-72.3508",medium
2024-03-17 08:00:00,2024-03-17 07:10:00,"44.7544,-73.6241",low
2024-03-29 08:00:00,2024-03-29 07:29:00,"44.5771,-73.4983",high
2024-04-04 05:00:00,2024-04-04 04:37:00,"44.8483,-73.7878",low
2024-04-04 20:00:00,2024-04-04 19:17:00,"45.237,-72.3099",low
2024-06-06 02:00:00,2024-06-06 01:22:00,"45.0448,-72.7419",low
2024-06-14 23:00:00,2024-06-14 22:23:00,"44.5355,-73.697",high
2024-06-19 03:00:00,2024-06-19 02:25:00,"45.8497,-72.3991",medium
2024-07-08 11:00:00,2024-07-08 10:06:00,"45.4207,-73.5608",medium
2024-07-26 18:00:00,2024-07-26 17:55:00,"45.1636,-72.7738",medium
2024-08-11 17:00:00,2024-08-11 16:03:00,"44.422,-73.8217",low
2024-08-15 16:00:00,2024-08-15 15:10:00,"44.9893,-72.9472",high
2024-08-26 04:00:00,2024-08-26 03:03:00,"44.4875,-73.9055",medium
2024-09-04 08:00:00,2024-09-04 07:08:00,"45.9548,-72.0209",low
2024-09-04 23:00:00,2024-09-04 22:16:00,"45.0288,-73.4796",low
2024-09-08 13:00:00,2024-09-08 12:46:00,"45.1302,-73.0222",low
2024-09-23 19:00:00,2024-09-23 18:27:00,"44.0927,-73.8376",low
2024-09-28 18:00:00,2024-09-28 17:54:00,"45.532,-72.0069",medium
2024-10-16 14:00:00,2024-10-16 13:23:00,"44.7212,-73.1703",medium
2024-10-27 07:00:00,2024-10-27 06:44:00,"44.0144,-73.8114",medium
2024-11-14 06:00:00,2024-11-14 05:40:00,"44.4543,-73.5505",medium
2024-11-18 20:00:00,2024-11-18 19:57:00,"45.1862,-72.7336",low
2024-12-16 20:00:00,2024-12-16 19:01:00,"45.2517,-73.3938",high
2024-12-23 03:00:00,2024-12-23 02:50:00,"44.6085,-73.0306",high
