timestamp,temperature,humidity,wind_speed,precipitation,vegetation_index,human_activity_index,latitude,longitude
2020-01-01 00:00:00,22.9,47,18,2.0,58,4,44.5894,-73.1827
2020-01-01 01:00:00,35.7,20,32,2.8,42,89,45.378,-73.2715
2020-01-01 02:00:00,34.3,27,8,2.8,41,28,44.7343,-73.5796
2020-01-01 03:00:00,35.4,55,17,0.8,71,23,44.631,-72.2996
2020-01-01 04:00:00,27.6,76,5,2.5,71,6,45.7226,-73.074
2020-01-01 05:00:00,33.9,71,15,1.9,38,84,45.7904,-72.5427
2020-01-01 06:00:00,16.7,28,25,1.2,65,20,44.741,-73.1597
2020-01-01 07:00:00,36.5,73,29,2.4,34,94,45.6256,-72.0386
2020-01-01 08:00:00,39.3,85,25,2.4,36,39,45.9273,-73.8001
2020-01-01 09:00:00,33.5,52,40,4.5,75,36,45.692,-72.6205
2020-01-01 10:00:00,28.0,52,38,4.1,78,42,44.2307,-73.1369
2020-01-01 11:00:00,17.4,29,25,0.6,64,65,45.8377,-72.5783
2020-01-01 12:00:00,17.3,46,37,1.1,52,30,44.488,-72.4542
2020-01-01 13:00:00,31.7,19,23,0.7,58,19,45.5764,-73.1772
2020-01-01 14:00:00,34.9,75,40,2.9,78,69,45.8648,-73.9061
2020-01-01 15:00:00,34.6,33,7,2.6,55,53,45.0564,-72.2307
2020-01-01 16:00:00,38.7,18,13,1.9,39,76,44.215,-73.8662
2020-01-01 17:00:00,36.6,35,15,1.3,63,29,45.3344,-73.0551
2020-01-01 18:00:00,19.9,28,17,4.0,41,93,45.2324,-72.945
2020-01-01 19:00:00,39.0,44,28,4.7,30,47,44.6168,-73.9388
2020-01-01 20:00:00,28.2,15,7,2.3,66,19,44.2266,-73.7193
2020-01-01 21:00:00,38.0,84,34,0.9,52,73,44.2809,-72.0373
2020-01-01 22:00:00,27.5,39,19,0.0,48,57,45.8609,-73.1538
2020-01-01 23:00:00,33.0,22,13,4.8,64,30,44.9155,-73.1189
2020-01-02 00:00:00,34.5,41,36,2.7,66,11,44.0714,-73.6783
2020-01-02 01:00:00,26.5,37,24,1.1,76,62,45.9386,-73.9564
2020-01-02 02:00:00,33.5,89,36,4.5,58,18,44.3744,-72.401
2020-01-02 03:00:00,26.9,90,25,0.5,68,74,45.7163,-72.1407
2020-01-02 04:00:00,34.6,70,6,1.0,54,46,45.6435,-73.323
2020-01-02 05:00:00,24.5,13,30,0.2,59,2,44.291,-72.7107
2020-01-02 06:00:00,38.7,86,20,2.7,61,10,45.3543,-72.9364
2020-01-02 07:00:00,29.1,79,10,3.5,34,43,45.8774,-73.8253
2020-01-02 08:00:00,26.6,11,29,1.3,53,33,45.7118,-72.9469
2020-01-02 09:00:00,17.7,26,37,1.7,44,31,45.8311,-72.2702
2020-01-02 10:00:00,26.2,61,14,1.0,58,3,44.2141,-72.7712
2020-01-02 11:00:00,27.3,45,36,4.4,60,42,44.1572,-72.2639
2020-01-02 12:00:00,31.7,81,31,0.9,45,18,45.177,-73.8729
2020-01-02 13:00:00,28.1,72,34,1.0,56,100,45.2052,-72.3221
2020-01-02 14:00:00,18.9,29,19,4.9,68,30,45.7807,-73.1744
2020-01-02 15:00:00,24.4,39,24,4.4,58,97,45.7276,-72.32
2020-01-02 16:00:00,32.1,43,5,2.7,76,54,45.3958,-73.9821
2020-01-02 17:00:00,25.6,79,37,3.3,55,58,45.5355,-73.0098
2020-01-02 18:00:00,17.3,89,26,1.2,36,70,45.6147,-72.4962
2020-01-02 19:00:00,26.6,10,14,3.8,74,25,44.5115,-72.6143
2020-01-02 20:00:00,39.8,66,5,3.5,64,70,45.0493,-72.6795
2020-01-02 21:00:00,29.3,46,12,3.9,77,10,45.6445,-73.1894
2020-01-02 22:00:00,31.1,44,18,1.4,75,7,44.5476,-72.3686
2020-01-02 23:00:00,16.0,41,30,1.9,74,11,45.3904,-72.7456
2020-01-03 00:00:00,32.7,60,1,0.3,71,7,45.1475,-73.3607
2020-01-03 01:00:00,21.5,46,38,4.5,54,38,45.1465,-73.3973
2020-01-03 02:00:00,31.0,27,38,2.3,47,47,44.8971,-73.2886
2020-01-03 03:00:00,20.4,81,14,0.9,40,63,45.7421,-72.6355
2020-01-03 04:00:00,29.0,79,0,1.4,39,25,44.2837,-72.0378
2020-01-03 05:00:00,20.2,22,8,3.2,43,52,44.8546,-72.9606
2020-01-03 06:00:00,23.3,72,18,4.1,43,75,44.5794,-72.334
2020-01-03 07:00:00,33.8,80,9,2.7,55,53,44.2992,-72.0854
2020-01-03 08:00:00,34.1,40,40,3.8,58,84,45.8822,-72.8678
2020-01-03 09:00:00,25.4,27,0,1.8,75,83,45.3145,-73.3987
2020-01-03 10:00:00,28.9,83,1,4.8,47,95,45.1051,-72.926
2020-01-03 11:00:00,19.7,61,25,0.5,77,45,44.3008,-73.606
2020-01-03 12:00:00,26.4,70,8,2.6,67,58,44.0047,-73.0065
2020-01-03 13:00:00,17.1,56,36,2.2,80,11,45.6571,-73.9328
2020-01-03 14:00:00,20.2,44,0,4.0,66,19,45.2225,-72.0348
2020-01-03 15:00:00,16.4,73,39,1.0,76,25,44.9593,-73.0157
2020-01-03 16:00:00,28.6,49,20,3.8,65,60,44.9392,-73.3212
2020-01-03 17:00:00,18.5,37,2,2.8,72,61,45.5262,-73.5756
2020-01-03 18:00:00,26.4,72,13,4.2,30,63,45.0375,-73.9517
2020-01-03 19:00:00,30.3,25,39,4.5,58,13,44.3111,-72.8328
2020-01-03 20:00:00,24.3,11,8,2.2,67,71,44.5202,-72.845
2020-01-03 21:00:00,25.4,26,9,4.0,63,59,45.6981,-72.4056
2020-01-03 22:00:00,35.7,14,26,3.5,74,86,44.9457,-73.3154
2020-01-03 23:00:00,15.3,68,31,1.1,59,8,45.6766,-73.3011
2020-01-04 00:00:00,23.4,17,15,0.8,78,66,44.2813,-73.8299
2020-01-04 01:00:00,38.8,59,31,4.1,46,88,45.4402,-72.3607
2020-01-04 02:00:00,17.7,60,34,0.5,59,88,45.0523,-72.5271
2020-01-04 03:00:00,19.9,11,19,1.5,68,30,45.0822,-73.9875
2020-01-04 04:00:00,30.4,39,40,3.9,72,64,44.4971,-73.3369
2020-01-04 05:00:00,38.8,25,36,2.2,37,7,45.5358,-72.9381
2020-01-04 06:00:00,31.2,88,31,0.9,64,9,44.099,-72.9969
2020-01-04 07:00:00,36.9,75,15,3.6,38,25,44.4546,-72.7039
2020-01-04 08:00:00,25.3,62,16,0.6,45,44,45.3415,-72.4202
2020-01-04 09:00:00,38.5,13,22,1.2,50,78,44.6818,-72.523
2020-01-04 10:00:00,19.2,63,36,2.4,74,92,45.6686,-72.5952
2020-01-04 11:00:00,34.7,43,35,2.2,41,82,44.1839,-72.3072
2020-01-04 12:00:00,21.5,19,0,4.9,69,35,44.1869,-73.1416
2020-01-04 13:00:00,39.1,45,7,4.1,30,16,44.0778,-72.3184
2020-01-04 14:00:00,15.9,84,20,2.7,54,32,45.3841,-73.6537
2020-01-04 15:00:00,20.0,32,33,3.9,62,33,44.3705,-73.0813
2020-01-04 16:00:00,29.2,63,2,4.1,38,26,44.4762,-72.5846
2020-01-04 17:00:00,17.1,40,11,0.0,39,60,44.6442,-73.7717
2020-01-04 18:00:00,28.8,17,23,0.7,48,62,44.0902,-72.8782
2020-01-04 19:00:00,37.7,43,31,4.6,59,98,44.4643,-72.1437
2020-01-04 20:00:00,26.3,28,13,1.7,43,95,45.0096,-72.6934
2020-01-04 21:00:00,24.3,39,12,5.0,40,100,44.3448,-73.4231
2020-01-04 22:00:00,35.7,43,38,3.1,30,8,45.6374,-72.0709
2020-01-04 23:00:00,19.4,88,39,1.2,41,38,44.0179,-72.4203
2020-01-05 00:00:00,28.3,26,28,1.3,61,48,44.5182,-73.7019
2020-01-05 01:00:00,28.5,82,32,1.9,32,32,45.6745,-73.0773
2020-01-05 02:00:00,32.3,47,14,1.2,36,1,45.8296,-72.4606
2020-01-05 03:00:00,36.2,63,4,3.5,42,1,45.4621,-73.0004
2020-01-05 04:00:00,35.4,41,17,3.4,31,68,44.5008,-72.2155
