timestamp,fire_start_time,location,severity,latitude,longitude
2020-01-09 03:00:00,2020-01-09 02:20:00,"45.0836,-73.3206",low,45.0836,-73.3206
2020-02-02 03:00:00,2020-02-02 02:46:00,"45.8719,-73.9053",medium,45.8719,-73.9053
2020-02-16 17:00:00,2020-02-16 16:57:00,"44.6907,-73.6182",low,44.6907,-73.6182
2020-02-17 18:00:00,2020-02-17 17:21:00,"44.4328,-73.9367",low,44.4328,-73.9367
2020-03-08 02:00:00,2020-03-08 01:27:00,"45.8508,-73.9233",low,45.8508,-73.9233
2020-04-17 02:00:00,2020-04-17 01:37:00,"45.7922,-73.3243",low,45.7922,-73.3243
2020-04-18 04:00:00,2020-04-18 03:40:00,"45.5982,-72.8358",low,45.5982,-72.8358
2020-04-18 07:00:00,2020-04-18 06:26:00,"45.9615,-72.5068",low,45.9615,-72.5068
2020-04-18 19:00:00,2020-04-18 18:15:00,"45.4327,-72.9613",medium,45.4327,-72.9613
2020-04-29 05:00:00,2020-04-29 04:37:00,"44.6123,-73.33",medium,44.6123,-73.33
2020-05-05 12:00:00,2020-05-05 11:30:00,"44.995,-72.6526",high,44.995,-72.6526
2020-06-06 05:00:00,2020-06-06 04:57:00,"45.3555,-72.1685",medium,45.3555,-72.1685
2020-06-08 01:00:00,2020-06-08 00:39:00,"44.2334,-73.1914",low,44.2334,-73.1914
2020-06-08 18:00:00,2020-06-08 18:00:00,"44.5623,-73.6508",high,44.5623,-73.6508
2020-06-27 00:00:00,2020-06-26 23:33:00,"44.4784,-73.0622",medium,44.4784,-73.0622
2020-08-03 23:00:00,2020-08-03 22:54:00,"45.6418,-73.6015",high,45.6418,-73.6015
2020-08-11 00:00:00,2020-08-10 23:19:00,"45.2274,-73.2683",low,45.2274,-73.2683
2020-08-27 06:00:00,2020-08-27 05:04:00,"44.4963,-73.52",low,44.4963,-73.52
2020-09-02 15:00:00,2020-09-02 14:39:00,"44.134,-72.2847",low,44.134,-72.2847
2020-09-05 14:00:00,2020-09-05 13:55:00,"44.7276,-73.6033",low,44.7276,-73.6033
2020-09-09 19:00:00,2020-09-09 18:48:00,"44.2499,-73.4077",medium,44.2499,-73.4077
2020-09-11 05:00:00,2020-09-11 04:31:00,"44.3324,-72.711",high,44.3324,-72.711
2020-09-21 05:00:00,2020-09-21 04:10:00,"45.957,-73.691",low,45.957,-73.691
2020-09-22 23:00:00,2020-09-22 22:02:00,"45.2932,-72.9721",low,45.2932,-72.9721
2020-09-24 01:00:00,2020-09-24 00:05:00,"44.3275,-72.4717",low,44.3275,-72.4717
2020-09-27 12:00:00,2020-09-27 11:59:00,"45.7496,-72.9375",low,45.7496,-72.9375
2020-09-28 13:00:00,2020-09-28 12:48:00,"44.4446,-72.6476",medium,44.4446,-72.6476
2020-10-18 09:00:00,2020-10-18 08:20:00,"44.8742,-72.0458",medium,44.8742,-72.0458
2020-11-06 12:00:00,2020-11-06 11:47:00,"44.3407,-73.8897",low,44.3407,-73.8897
2020-11-07 14:00:00,2020-11-07 13:48:00,"44.8939,-72.2429",medium,44.8939,-72.2429
2020-11-15 07:00:00,2020-11-15 06:42:00,"45.0742,-73.3748",low,45.0742,-73.3748
2020-11-28 03:00:00,2020-11-28 02:26:00,"45.0029,-73.3211",high,45.0029,-73.3211
2020-12-09 10:00:00,2020-12-09 09:55:00,"45.7201,-72.3038",high,45.7201,-72.3038
2021-01-22 04:00:00,2021-01-22 04:00:00,"45.2008,-73.7842",medium,45.2008,-73.7842
