timestamp,temperature,humidity,wind_speed,precipitation,vegetation_index,latitude,human_activity_index,longitude,severity
2020-01-01 00:00:00,22.9,47,18,2.0,58,44.5894,4,-73.1827,0
2020-01-01 01:00:00,35.7,20,32,2.8,42,45.378,89,-73.2715,0
2020-01-01 02:00:00,34.3,27,8,2.8,41,44.7343,28,-73.5796,0
2020-01-01 03:00:00,35.4,55,17,0.8,71,44.631,23,-72.2996,0
2020-01-01 04:00:00,27.6,76,5,2.5,71,45.7226,6,-73.074,0
2020-01-01 05:00:00,33.9,71,15,1.9,38,45.7904,84,-72.5427,0
2020-01-01 06:00:00,16.7,28,25,1.2,65,44.741,20,-73.1597,0
2020-01-01 07:00:00,36.5,73,29,2.4,34,45.6256,94,-72.0386,0
2020-01-01 08:00:00,39.3,85,25,2.4,36,45.9273,39,-73.8001,0
2020-01-01 09:00:00,33.5,52,40,4.5,75,45.692,36,-72.6205,0
2020-01-01 10:00:00,28.0,52,38,4.1,78,44.2307,42,-73.1369,0
2020-01-01 11:00:00,17.4,29,25,0.6,64,45.8377,65,-72.5783,0
2020-01-01 12:00:00,17.3,46,37,1.1,52,44.488,30,-72.4542,0
2020-01-01 13:00:00,31.7,19,23,0.7,58,45.5764,19,-73.1772,0
2020-01-01 14:00:00,34.9,75,40,2.9,78,45.8648,69,-73.9061,0
2020-01-01 15:00:00,34.6,33,7,2.6,55,45.0564,53,-72.2307,0
2020-01-01 16:00:00,38.7,18,13,1.9,39,44.215,76,-73.8662,0
2020-01-01 17:00:00,36.6,35,15,1.3,63,45.3344,29,-73.0551,0
2020-01-01 18:00:00,19.9,28,17,4.0,41,45.2324,93,-72.945,0
2020-01-01 19:00:00,39.0,44,28,4.7,30,44.6168,47,-73.9388,0
2020-01-01 20:00:00,28.2,15,7,2.3,66,44.2266,19,-73.7193,0
2020-01-01 21:00:00,38.0,84,34,0.9,52,44.2809,73,-72.0373,0
2020-01-01 22:00:00,27.5,39,19,0.0,48,45.8609,57,-73.1538,0
2020-01-01 23:00:00,33.0,22,13,4.8,64,44.9155,30,-73.1189,0
2020-01-02 00:00:00,34.5,41,36,2.7,66,44.0714,11,-73.6783,0
2020-01-02 01:00:00,26.5,37,24,1.1,76,45.9386,62,-73.9564,0
2020-01-02 02:00:00,33.5,89,36,4.5,58,44.3744,18,-72.401,0
2020-01-02 03:00:00,26.9,90,25,0.5,68,45.7163,74,-72.1407,0
2020-01-02 04:00:00,34.6,70,6,1.0,54,45.6435,46,-73.323,0
2020-01-02 05:00:00,24.5,13,30,0.2,59,44.291,2,-72.7107,0
2020-01-02 06:00:00,38.7,86,20,2.7,61,45.3543,10,-72.9364,0
