timestamp,temperature,humidity,wind_speed,precipitation,vegetation_index,latitude,human_activity_index,longitude,date,severity
2020-01-09 00:00:00,27.3,68,21,1.4,56,45.3331,32,-72.0077,2020-01-09,0.0
2020-01-09 01:00:00,32.6,35,38,2.8,54,45.5273,39,-73.2231,2020-01-09,0.0
2020-01-09 02:00:00,17.1,65,31,1.8,61,44.5463,52,-73.3633,2020-01-09,0.0
2020-01-09 03:00:00,38.0,14,40,0.3,79,45.0836,77,-73.3206,2020-01-09,0.0
2020-01-09 04:00:00,29.0,64,33,0.7,55,45.8386,72,-73.2762,2020-01-09,0.0
2020-01-09 05:00:00,23.4,66,36,0.9,54,45.7326,7,-72.7499,2020-01-09,0.0
2020-01-09 06:00:00,35.8,10,28,3.9,51,44.8351,68,-72.6318,2020-01-09,0.0
2020-01-09 07:00:00,17.5,70,30,2.3,65,45.1885,67,-72.6738,2020-01-09,0.0
2020-01-09 08:00:00,38.4,66,29,0.6,35,45.0656,45,-73.8417,2020-01-09,0.0
2020-01-09 09:00:00,32.1,48,11,2.0,38,45.2604,55,-72.7938,2020-01-09,0.0
2020-01-09 10:00:00,29.4,39,21,0.5,52,44.2133,32,-73.7166,2020-01-09,0.0
2020-01-09 11:00:00,33.7,40,24,0.3,64,44.124,90,-73.7185,2020-01-09,0.0
2020-01-09 12:00:00,17.5,40,30,4.5,58,45.185,53,-73.187,2020-01-09,0.0
2020-01-09 13:00:00,22.2,90,7,1.1,48,44.852,79,-73.2831,2020-01-09,0.0
2020-01-09 14:00:00,16.3,90,31,2.5,70,45.5236,53,-73.5529,2020-01-09,0.0
2020-01-09 15:00:00,36.8,88,2,4.5,42,45.1757,47,-73.3352,2020-01-09,0.0
2020-01-09 16:00:00,18.9,18,16,2.9,44,45.0722,92,-72.1574,2020-01-09,0.0
2020-01-09 17:00:00,23.6,43,26,4.1,69,45.4873,38,-72.572,2020-01-09,0.0
2020-01-09 18:00:00,21.8,30,5,0.2,56,45.5117,99,-72.5717,2020-01-09,0.0
2020-01-09 19:00:00,39.1,35,16,4.2,43,45.3445,77,-73.198,2020-01-09,0.0
2020-01-09 20:00:00,19.6,76,8,3.3,32,44.1408,18,-72.1468,2020-01-09,0.0
2020-01-09 21:00:00,22.4,78,36,4.0,71,44.7872,75,-72.0819,2020-01-09,0.0
2020-01-09 22:00:00,32.0,53,18,0.9,74,44.5496,94,-73.8769,2020-01-09,0.0
2020-01-09 23:00:00,17.3,72,34,2.3,54,45.1163,32,-73.8602,2020-01-09,0.0
2020-02-02 00:00:00,23.9,77,31,3.9,51,44.2231,25,-73.8508,2020-02-02,1.0
2020-02-02 01:00:00,17.6,33,22,2.0,76,45.1217,68,-73.7338,2020-02-02,1.0
2020-02-02 02:00:00,38.1,43,33,3.7,35,44.3446,40,-73.0285,2020-02-02,1.0
2020-02-02 03:00:00,37.3,11,33,1.2,54,45.8719,89,-73.9053,2020-02-02,1.0
2020-02-02 04:00:00,37.4,71,37,1.9,30,44.5267,18,-73.7762,2020-02-02,1.0
2020-02-02 05:00:00,33.0,90,26,2.7,52,44.3804,72,-73.095,2020-02-02,1.0
2020-02-02 06:00:00,31.1,40,1,0.5,78,44.4734,92,-73.9613,2020-02-02,1.0
2020-02-02 07:00:00,26.3,68,9,2.4,57,44.6041,42,-72.6235,2020-02-02,1.0
2020-02-02 08:00:00,27.6,73,24,1.2,43,45.2698,57,-72.7316,2020-02-02,1.0
2020-02-02 09:00:00,38.1,41,6,3.2,74,45.2378,8,-73.6977,2020-02-02,1.0
2020-02-02 10:00:00,23.2,41,4,4.7,49,44.7969,93,-72.6685,2020-02-02,1.0
2020-02-02 11:00:00,33.5,32,1,4.2,51,45.2248,25,-72.2559,2020-02-02,1.0
2020-02-02 12:00:00,19.6,21,4,1.9,79,45.0298,100,-73.9835,2020-02-02,1.0
2020-02-02 13:00:00,40.0,79,24,4.7,37,45.9965,33,-73.9248,2020-02-02,1.0
2020-02-02 14:00:00,26.8,25,5,4.9,33,45.242,95,-73.1954,2020-02-02,1.0
2020-02-02 15:00:00,25.6,83,14,2.3,35,44.8175,53,-72.4403,2020-02-02,1.0
2020-02-02 16:00:00,24.6,24,25,2.2,73,44.0488,71,-72.2545,2020-02-02,1.0
2020-02-02 17:00:00,21.6,52,12,4.5,56,45.1863,83,-73.0518,2020-02-02,1.0
2020-02-02 18:00:00,36.8,65,7,4.7,47,45.1694,65,-72.1804,2020-02-02,1.0
2020-02-02 19:00:00,37.0,11,25,4.2,48,45.702,45,-73.1229,2020-02-02,1.0
2020-02-02 20:00:00,35.5,52,40,1.1,50,45.1254,41,-72.875,2020-02-02,1.0
